timestamp,bridge,source_chain,dest_chain,token,amount_usd,bridge_fee_usd,duration_min,success,tx_hash,sender
2026-08-01 00:00:00,Across,Ethereum,Arbitrum,ETH,139927,232.48,11,True,0x0000000000000000000000000000000000000000000000000000000000000000,0x00000004df29e0f18e377ddb512734f948b508f2
2026-08-01 02:00:00,Stargate,Arbitrum,Optimism,USDC,43541,313.21,2,True,0x0000000000000000000000000000000000000000000000000000000000000001,0x0000001088ea0bf8fc0d0aa62215165b3d14e10e
2026-08-01 04:00:00,Hop,Optimism,Ethereum,USDT,98615,925.52,34,False,0x0000000000000000000000000000000000000000000000000000000000000002,0x000000176efe54bfe4b0abc7a678a8679d3da680
2026-08-01 06:00:00,Synapse,Base,Polygon,WBTC,353600,533.82,14,True,0x0000000000000000000000000000000000000000000000000000000000000003,0x0000000e476fe437642026052945f608772e1dd1
2026-08-01 08:00:00,Wormhole,Polygon,Base,DAI,366265,3504.77,14,True,0x0000000000000000000000000000000000000000000000000000000000000004,0x0000000cde4f3b78b9fc6c1c113daada6539496e
2026-08-01 10:00:00,LayerZero,Ethereum,Arbitrum,ETH,427319,1272.88,43,True,0x0000000000000000000000000000000000000000000000000000000000000005,0x000000123574d08043b992120f54996fc6223e27
2026-08-01 12:00:00,Across,Arbitrum,Optimism,USDC,353380,2062.91,24,True,0x0000000000000000000000000000000000000000000000000000000000000006,0x0000001c278f9966184356787553d0c11b5609a1
2026-08-01 14:00:00,Stargate,Optimism,Ethereum,USDT,450231,3549.68,23,True,0x0000000000000000000000000000000000000000000000000000000000000007,0x000000155eb0cf8ab9392b2e9b921d0541d0cf02
2026-08-01 16:00:00,Hop,Base,Polygon,WBTC,118043,721.04,34,True,0x0000000000000000000000000000000000000000000000000000000000000008,0x00000003c603cda5e774981f49b02349ca7eb32f
2026-08-01 18:00:00,Synapse,Polygon,Base,DAI,261216,1835.68,3,True,0x0000000000000000000000000000000000000000000000000000000000000009,0x0000000cf79ca0440a3eeeaed6d0e42fad07fd9d
2026-08-01 20:00:00,Wormhole,Ethereum,Arbitrum,ETH,107657,934.78,23,False,0x000000000000000000000000000000000000000000000000000000000000000a,0x0000000ad89b7ca7a03045ef266bbb8542cb57c9
2026-08-01 22:00:00,LayerZero,Arbitrum,Optimism,USDC,255910,746.7,38,True,0x000000000000000000000000000000000000000000000000000000000000000b,0x000000143e1f767b689e626d0eecf3533a13be90
2026-08-02 00:00:00,Across,Optimism,Ethereum,USDT,374613,959.42,39,True,0x000000000000000000000000000000000000000000000000000000000000000c,0x00000016399c50524cbb4a5a9a845e1e2338529e
2026-08-02 02:00:00,Stargate,Base,Polygon,WBTC,480291,2535.85,30,True,0x000000000000000000000000000000000000000000000000000000000000000d,0x000000105a48e2b21a5e3440e02c7cab4dd4cadf
2026-08-02 04:00:00,Hop,Polygon,Base,DAI,121182,1166.64,26,True,0x000000000000000000000000000000000000000000000000000000000000000e,0x00000014d0d2c831fb0806b44fa48d8f012192be
2026-08-02 06:00:00,Synapse,Ethereum,Arbitrum,ETH,279463,2159.96,42,True,0x000000000000000000000000000000000000000000000000000000000000000f,0x0000001741b03053c7823b47dccb8b25e3238469
2026-08-02 08:00:00,Wormhole,Arbitrum,Optimism,USDC,379167,3223.14,35,False,0x0000000000000000000000000000000000000000000000000000000000000010,0x0000001d5ec47045e1876a511d95b4072ed53dfe
2026-08-02 10:00:00,LayerZero,Optimism,Ethereum,USDT,493423,1989.94,16,True,0x0000000000000000000000000000000000000000000000000000000000000011,0x00000019e2c23b826be46a3c668d243c85674f8e
2026-08-02 12:00:00,Across,Base,Polygon,WBTC,433160,2817.39,18,False,0x0000000000000000000000000000000000000000000000000000000000000012,0x000000129d286d3f095c2d77ed9dc9d948a841ce
2026-08-02 14:00:00,Stargate,Polygon,Base,DAI,144950,1369.52,15,True,0x0000000000000000000000000000000000000000000000000000000000000013,0x0000000ee24a787138164e854f5c465eb856b6bd
2026-08-02 16:00:00,Hop,Ethereum,Arbitrum,ETH,403532,3797.96,9,True,0x0000000000000000000000000000000000000000000000000000000000000014,0x0000001494281e7d8ff07dbab2664337516d301c
2026-08-02 18:00:00,Synapse,Arbitrum,Optimism,USDC,68915,354.74,10,True,0x0000000000000000000000000000000000000000000000000000000000000015,0x0000001a6dc5d3adfe927c4e149b9f3f97a9cbcb
2026-08-02 20:00:00,Wormhole,Optimism,Ethereum,USDT,52904,180.88,36,False,0x0000000000000000000000000000000000000000000000000000000000000016,0x00000017f15c659bc6e9d3d22e65156fa8261e30
2026-08-02 22:00:00,LayerZero,Base,Polygon,WBTC,443418,1786.93,17,True,0x0000000000000000000000000000000000000000000000000000000000000017,0x0000000e5403f01a81f78ea86b5ad19127d76720
2026-08-03 00:00:00,Across,Polygon,Base,DAI,70795,518.27,27,False,0x0000000000000000000000000000000000000000000000000000000000000018,0x000000161cfb65ae1cfa1adb1161efe111fc91a6
2026-08-03 02:00:00,Stargate,Ethereum,Arbitrum,ETH,336522,2591.89,26,True,0x0000000000000000000000000000000000000000000000000000000000000019,0x00000014b9e6e9f061d7ba912ae9d05a5394a28f
2026-08-03 04:00:00,Hop,Arbitrum,Optimism,USDC,196393,1025.23,26,False,0x000000000000000000000000000000000000000000000000000000000000001a,0x0000000b72c8d2c4b927afa9b5ddf07c2ad48363
2026-08-03 06:00:00,Synapse,Optimism,Ethereum,USDT,333497,371.47,12,False,0x000000000000000000000000000000000000000000000000000000000000001b,0x00000011f38b2d490ab4b90e3452de64967cf3e8
